Country name,Happiness Rank,Happiness score,Economy (GDP per Capita)	,Social support,Healthy life expectancy
Bangladesh,129,3.886,1.122,0.249,0.513
Ethiopia,130,3.861,0.792,0.915,0.42
Tanzania,131,3.781,0.82,0.706,0.38
Comoros,132,3.566,0.896,0.328,0.37
Yemen,133,3.561,0.671,1.281,0.293
Zambia,134,3.502,0.899,0.809,0.264
Eswatini,135,3.502,1.255,0.925,0.176
Malawi,136,3.421,0.617,0.41,0.349
Botswana,137,3.383,1.445,0.969,0.241
Zimbabwe,138,3.341,0.748,0.85,0.232
Congo (Kinshasa),139,3.295,0.534,0.665,0.262
Sierra Leone,140,3.245,0.654,0.566,0.253
Lesotho,141,3.186,0.771,0.851,0
Lebanon,142,2.707,1.377,0.577,0.556
Afghanistan,143,1.721,0.628,0,0.242
